"id","iata_code","icao_code","name","city_id","city_name","time_zone_offset","latitude","longitude","score","enabled","duffel_id","__drizzlerowid__"
"eoti6uc9mszeoattnd0ru86s","KRY","ZWKM","Karamay Airport","sboiruqivavzgt4kggloy07p","Karamay","+08:00","45.62","84.88","1","1",,"3749"
"eout9dzeovv2dovpmxlj4uuk","LAQ","HLLQ","Al Abraq International Airport","e27supmdkh66ftix8mz2m2wx","Beida","+02:00","32.78862","21.96417","1","1",,"125"
"eov1g4qkgt4dbsupnpomlizz","HLN","KHLN","Helena Regional Airport","pcjzjpkqwvxnj94y9p5etqwi","Helena","-06:00","46.60695","-111.9828","0","1",,"3118"
"eovxu4gp4ghg1r7yu0635lxa","NGA","YYNG","Young Airport","j6wm8ugoozeaxyerh56hda3c","Young","+10:00","-34.25555","148.24809","0","1",,"8941"
"ep72s43auyl1woksxihzy3jd","MRR","SEMA","José María Velasco Ibarra Airport","julvsneyflh4x844y5embd5s","Macará","-05:00","-4.37833","-79.94111","0","0",,"3597"
"ep98xw9km5jjo082r3je7fof","LOA","YLOR","Lorraine Airport","ufuczfw3blgo6bqb4pi4nnea","Lorraine","+10:00","-19.00555","139.897","0","1",,"4568"
"epakuinnynoney03r113oeih","CUV","SVCG","Casigua El Cubo Airport","ktyeo808ai942pvxfodrcvns","Casigua El Cubo","-04:00","8.75806","-72.53638","0","1",,"1361"
"epcil7d8eld1tcocc5x9th8w","ZEG","uasc","Senggo Airport","ekvzrlr5n4pdaouxcun67z7a","Senggo","+09:00","-5.98305","139.39999","0","1",,"7266"
"epe8mtjstxy9ch642hke185n","SRS","d8ud","San Marcos Airport","cv8f55scp9jfqvdpmo0by8er","San Marcos","-05:00","8.68306","-75.17","0","0",,"7070"
"epi8bw103pe9emvmp1ceo980","EVN","UDYZ","Zvartnots International Airport","qmx6g51ijuktasss7elrpcu4","Yerevan","+04:00","40.1525","44.40223","3","1",,"9022"
"epqn7s7xpipdsh9q8qrrxupz","HUH","NTTH","Huahine – Fare Airport","p966hvh6xouwjah6aqnwgt9p","Huahine","-10:00","-16.68722","-151.0219","2","1",,"3237"
"epwwbvmblgxhiqbpadrgyn43","ACA","MMAA","General Juan N. Álvarez International Airport","vdizr9cuclvnpx0i91bk4vx4","Acapulco","-06:00","16.75695","-99.75388","1","1",,"2702"
"epxid35zpg78pg5h37kcpxys","EPS","MDPO","Arroyo Barril International Airport","ut1rg12w9o80p12r6cem3vb8","Samana","-04:00","19.201595","-69.432519","0","1","arp_eps_do","435"
"epxjliv9zidrro94pwhfkn3r","TMF","VRNT","Thimarafushi Airport","kql79z0qk0o3bzlfbu4oijlg","Thimarafushi","+05:00","2.20834","73.14778","0","1",,"8046"
"epzkagmyggyylttcu7fqlb23","UMI","SPIL","Quince Mil Airport","lytxfz7jrm228i87pzxvurlx","Quince Mil","-05:00","-13.27","-70.63","0","1",,"6593"
"eq04ugyvkikpjmrsd65shs2q","KZR","LTBZ","Zafer Airport","pbvkzn8psiryex71vv2pu09g","Kutahya","+03:00","39.11056","30.13223","0","1",,"8962"
"eq1myrsulmvi7p6lg0r64bs6","TFN","GCXO","Tenerife North Airport","iv1grotixxv27qagzaj4nsfe","Tenerife","+01:00","28.48278","-16.34166","3","1",,"7980"
"eq35nlu8uz946ej7ep9wba4h","GAJ","RJSC","Yamagata Airport","nqj0uoxqkpo0s9vvxnin8wig","Yamagata","+09:00","38.41195","140.3714","0","1",,"8860"
"eq5a45k18lqh8hwkcwsq5osu","PGX","LFBX","Périgueux-Bassillac Airport","n5xj9hse33a919plabnr5z38","Perigueux","+02:00","45.19723","0.81306","0","0",,"6203"
"eq653y6fsc1ae1eko4srjf4y","TQQ","WA44","Maranggo Airport","m64dkpxav4j14c65rxdjnn8p","Tomia","+08:00","-5.76666","123.9189","0","0",,"4841"
"eq9aouh59sr1bgwackbsd5vf","BAX","UNBB","Barnaul Airport","gdcrm1vot5j9ipvmn7bpqitg","Barnaul","+07:00","53.36389","83.54422","1","1",,"678"
"eqew28b9hl1n6do34plgs7yn","LPN","d4zb","Leron Plains Airport","gbc93pjsksc8pkdw2glsp1ho","Leron Plains","+10:00","-6.39222","146.34331","0","0",,"4416"
"eqhgmfbarh12hp3zw8e2rl3n","LGX","HCMJ","Lugh Ganane Airport","ln8qvxksh0rhszcfhgy868fl","Lugh Ganane","+03:00","3.80889","42.54584","0","0",,"4614"
"eqmdc7dwa2g5153x0x3k1931","TBC","nldv","Tuba City Airport","kv4sgfh2xr4z5ldsq6llh8a0","Tuba City","-07:00","36.13","-111.2","0","0",,"8240"
"eqthddedl1fxnll63914wda6","MOM","GQNL","Letfotar Airport","sb4pjg6n2n7nypl5lm7mizfb","Moudjeria","+00:00","17.75","-12.5","0","1",,"4425"
"eqx9vbuazx8hdgx8uiykp69q","GVP","YGNV","Greenvale Airport","h24216sfn6edafq8cpj6tce0","Greenvale","+10:00","-18.99694","145.0136","0","0",,"2905"
"eqxjcxt1720ozbknogtp3q1d","RRV","YRBR","Robinson River Airport","bwxr39kh9vr1163tqc5ciaod","Robinson River","+09:30","-16.75","136.89999","0","0",,"6788"
"eqzkhuly46gii30ljz64tr4e","GIC","YBOI","Boigu Island Airport","hkwkbi0ipylxgep6f8qvq6ci","Boigu Island","+10:00","-9.27","142.2","0","1",,"985"
"er17unjvxvcko5f5g39am9fb","ZWL","CZWL","Wollaston Lake Airport","zzfjou8iqmhu4vmv9kri3nyp","Wollaston Lake","-06:00","58.12","-103.2","1","1",,"8788"
"er4q83lhbqfmn37s8poohiwz","WMC","KWMC","Winnemucca Municipal Airport","yhzt3erzrziyl1094lzky2ls","Winnemucca","-07:00","40.97","-117.7","0","0",,"8768"
"er5yj66al1o9rk3wtjp4msgw","HGS","GFHA","Hastings Airport","s3w3b1y0yed1lupzcb0yp73d","Freetown","+00:00","8.38306","-13.12","0","0",,"3075"
"er6r1k1p1t7dpvwe9im98ujv","NUD","HSNH","En Nahud Airport","nlfcuavler3nojror8ttns4i","En Nahud","+02:00","12.7","28.42","0","1",,"2316"
"er7gczxxrg4yd96s1c4dn62u","STG","PAPB","St. George Airport","tdqtg8prt3mn7z53qg35i0oq","St George Island","-08:00","56.57778","-169.6631","0","1",,"7645"
"ercfhvbs1x4ocfkngfkjl14c","EME","EDWE","Emden Airport","d6dq2zne9pnyrvvrds4ojbpw","Emden","+02:00","53.39139","7.2275","0","1",,"2301"
"erh6tykcl1idkx1huj9c6cro","KTB","jzrh","Thorne Bay Seaplane Base","m1vxpqd0kzo5ojt08v0sgkqi","Thorne Bay","-08:00","55.68","-132.5","1","1",,"8053"
"erqx0uszet18yp3p95xdazl9","UBI","jvpz","Buin Airport","etehavx56jd9nwn0rhog2mec","Buin","+11:00","-6.71694","155.7","0","1",,"1149"
"es6n3xvi4sid9ec8as4086r4","BNM","AYBD","Bodinumu Airport","fqs00g58x6yl0bwf0gnl9cjw","Bodinumu","+10:00","-9.08305","147.5","0","0",,"978"
"esac7zco69yucojwccfqzq63","IKA","OIIE","Tehran Imam Khomeini International Airport","eks4enyaunnh3c7s468a1f3t","Tehran","+03:30","35.41","51.15","5","1",,"7960"
"esk5s0gylc55doog8cnr7v7h","IQA","ORAA","Al Asad Airbase Airport","wp7lgam0f9k93s39t1l1uwr3","Al Asad","+03:00","33.78556","42.44112","0","1",,"131"
"esmdb4alg38jm2z2b0mqopy3","FAJ","TJFA","Diego Jimenez Torres Airport","o96tw82u4xrw24d0bx3e75fk","Fajardo","-04:00","18.30889","-65.66194","0","1",,"2013"
"esrikph1qrvgu6zd5cj9os9n","YYY","CYYY","Mont-Joli Airport","wfmoigiqerz2xr66t82h8acq","Mont-Joli","-04:00","48.60473","-68.21222","1","1",,"5279"
